   +0.023169    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.023181    +0.000003    +0.000000    +0.000000    +0.000000    +0.000000
   +0.022557    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.024225    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.023978    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.020074    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.017773    +0.000003    +0.000000    +0.000000    +0.000000    +0.000000
   +0.016155    +0.000005    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000022    +0.000007    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000016    +0.000006    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000014    +0.000005    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000013    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000024    +0.000007    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000036    +0.000010    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000024    +0.000007    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000014    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000015    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.021329    +0.000032    +0.000000    +0.000000    +0.000000    +0.000000
   +0.053612    +0.001393    +0.000000    +0.000000    +0.000000    +0.000000
   +0.748686    +0.076119    +0.000000    +0.000000    +0.000000    +0.000000
   +0.452854    +0.025665    +0.000000    +0.000000    +0.000000    +0.000000
   +0.212487    +0.002337    +0.000000    +0.000000    +0.000000    +0.000000
   +5.000000    +1.890714    +1.048177    +0.000000    +0.000000    +0.000000
   +3.660063    +0.515611    +0.000000    +0.000000    +0.000000    +0.000000
   +3.829258    +0.554792    +0.000000    +0.000000    +0.000000    +0.000000
   +2.057036    +0.336365    +0.000000    +0.000000    +0.000000    +0.000000
   +0.431985    +0.166152    +0.000000    +0.000000    +0.000000    +0.000000
   +0.596524    +0.000830    +0.000000    +0.000000    +0.000000    +0.000000
   +0.561439    +0.000131    +0.000000    +0.000000    +0.000000    +0.000000
   +0.403363    +0.000068    +0.000000    +0.000000    +0.000000    +0.000000
   +0.224197    +0.000026    +0.000000    +0.000000    +0.000000    +0.000000
   +0.081875    +0.000010    +0.000000    +0.000000    +0.000000    +0.000000
   +0.000003    +0.000003    +0.000000    +0.000000    +0.000000    +0.000000
   +0.054469    +0.000001    +0.000000    +0.000000    +0.000000    +0.000000
   +0.072843    +0.000002    +0.000000    +0.000000    +0.000000    +0.000000
   +0.073919    +0.000002    +0.000000    +0.000000    +0.000000    +0.000000
   +0.065576    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.056458    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.049154    +0.000004    +0.000000    +0.000000    +0.000000    +0.000000
   +0.046912    +0.000003    +0.000000    +0.000000    +0.000000    +0.000000
   +0.046337    +0.000001    +0.000000    +0.000000    +0.000000    +0.000000
   +0.046854    +0.000001    +0.000000    +0.000000    +0.000000    +0.000000
   +0.048321    +0.000001    +0.000000    +0.000000    +0.000000    +0.000000
   +0.050605    +0.000002    +0.000000    +0.000000    +0.000000    +0.000000
